Cla,Piloto,#,Chasis,Motor,Vueltas,Tiempo,Intervalo,NeumÃ¡ticos,Km/h,Sesión,Boxes,Puntos,Abandono
20,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,31.0,+2.171 1'08.081,0.258,,228.328,FP1,,,
1,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,37.0,1'05.412,,,237.644,FP2,,,
2,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,35.0,+0.336 1'05.748,0.336,,236.43,FP2,,,
3,E. Ocon  Alpine,31,Alpine,Renault,35.0,+0.378 1'05.790,0.042,,236.279,FP2,,,
4,L. Hamilton  Mercedes,44,Mercedes,Mercedes,35.0,+0.384 1'05.796,0.006,,236.257,FP2,,,
5,F. Alonso  Alpine,14,Alpine,Renault,39.0,+0.415 1'05.827,0.031,,236.146,FP2,,,
6,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,38.0,+0.522 1'05.934,0.107,,235.763,FP2,,,
7,L. Norris  McLaren F1,4,McLaren,Mercedes,39.0,+0.582 1'05.994,0.06,,235.548,FP2,,,
8,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,36.0,+0.667 1'06.079,0.085,,235.245,FP2,,,
9,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,36.0,+0.677 1'06.089,0.01,,235.21,FP2,,,
10,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,37.0,+0.733 1'06.145,0.056,,235.01,FP2,,,
11,C. Sainz  Ferrari,55,Ferrari,Ferrari,39.0,+0.735 1'06.147,0.002,,235.003,FP2,,,
12,V. Bottas  Mercedes,77,Mercedes,Mercedes,32.0,+0.839 1'06.251,0.104,,234.634,FP2,,,
13,C. Leclerc  Ferrari,16,Ferrari,Ferrari,39.0,+0.858 1'06.270,0.019,,234.567,FP2,,,
14,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,41.0,+0.885 1'06.297,0.027,,234.472,FP2,,,
15,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,39.0,+1.039 1'06.451,0.154,,233.928,FP2,,,
16,G. Russell  Williams,63,Williams,Mercedes,39.0,+1.216 1'06.628,0.177,,233.307,FP2,,,
17,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,29.0,+1.474 1'06.886,0.258,,232.407,FP2,,,
18,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,30.0,+1.992 1'07.404,0.518,,230.621,FP2,,,
19,N. Latifi  Williams,6,Williams,Mercedes,32.0,+2.257 1'07.669,0.265,,229.718,FP2,,,
1,L. Hamilton  Mercedes,44,Mercedes,Mercedes,19.0,1'04.369,,,241.495,FP3,,,
2,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,16.0,+0.204 1'04.573,0.204,,240.732,FP3,,,
3,V. Bottas  Mercedes,77,Mercedes,Mercedes,25.0,+0.463 1'04.832,0.259,,239.77,FP3,,,
4,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,21.0,+0.657 1'05.026,0.194,,239.055,FP3,,,
5,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,23.0,+0.781 1'05.150,0.124,,238.6,FP3,,,
6,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,22.0,+0.929 1'05.298,0.148,,238.059,FP3,,,
7,C. Leclerc  Ferrari,16,Ferrari,Ferrari,21.0,+0.971 1'05.340,0.042,,237.906,FP3,,,
8,F. Alonso  Alpine,14,Alpine,Renault,24.0,+1.031 1'05.400,0.06,,237.688,FP3,,,
9,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,18.0,+1.076 1'05.445,0.045,,237.524,FP3,,,
10,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,20.0,+1.123 1'05.492,0.047,,237.354,FP3,,,
11,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,24.0,+1.187 1'05.556,0.064,,237.122,FP3,,,
12,E. Ocon  Alpine,31,Alpine,Renault,22.0,+1.307 1'05.676,0.12,,236.689,FP3,,,
