Cla,Piloto,#,Chasis,Motor,Vueltas,Tiempo,Intervalo,NeumÃ¡ticos,Km/h,Sesión,Boxes,Puntos,Abandono
10,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,32.0,+0.988 1'05.511,0.045,,237.285,FP2,,,
11,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,39.0,+0.993 1'05.516,0.005,,237.267,FP2,,,
12,E. Ocon  Alpine,31,Alpine,Renault,36.0,+1.004 1'05.527,0.011,,237.227,FP2,,,
13,C. Sainz  Ferrari,55,Ferrari,Ferrari,37.0,+1.097 1'05.620,0.093,,236.891,FP2,,,
14,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,33.0,+1.101 1'05.624,0.004,,236.876,FP2,,,
15,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,32.0,+1.175 1'05.698,0.074,,236.609,FP2,,,
16,C. Leclerc  Ferrari,16,Ferrari,Ferrari,33.0,+1.185 1'05.708,0.01,,236.573,FP2,,,
17,G. Russell  Williams,63,Williams,Mercedes,36.0,+1.296 1'05.819,0.111,,236.174,FP2,,,
18,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,35.0,+1.388 1'05.911,0.092,,235.845,FP2,,,
19,N. Latifi  Williams,6,Williams,Mercedes,38.0,+1.491 1'06.014,0.103,,235.477,FP2,,,
20,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,35.0,+1.650 1'06.173,0.159,,234.911,FP2,,,
1,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,15.0,1'04.591,,,240.665,FP3,,,
2,V. Bottas  Mercedes,77,Mercedes,Mercedes,22.0,+0.538 1'05.129,0.538,,238.677,FP3,,,
3,L. Hamilton  Mercedes,44,Mercedes,Mercedes,20.0,+0.686 1'05.277,0.148,,238.135,FP3,,,
4,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,27.0,+0.689 1'05.280,0.003,,238.125,FP3,,,
5,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,27.0,+0.754 1'05.345,0.065,,237.888,FP3,,,
6,C. Sainz  Ferrari,55,Ferrari,Ferrari,29.0,+0.756 1'05.347,0.002,,237.88,FP3,,,
7,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,20.0,+0.805 1'05.396,0.049,,237.702,FP3,,,
8,F. Alonso  Alpine,14,Alpine,Renault,23.0,+0.843 1'05.434,0.038,,237.564,FP3,,,
9,C. Leclerc  Ferrari,16,Ferrari,Ferrari,35.0,+0.893 1'05.484,0.05,,237.383,FP3,,,
10,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,22.0,+0.951 1'05.542,0.058,,237.173,FP3,,,
