Cla,Piloto,#,Chasis,Motor,Vueltas,Tiempo,Intervalo,NeumÃ¡ticos,Km/h,Sesión,Boxes,Puntos,Abandono
11,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,12.0,+0.809 1'11.747,0.007,,167.438,Q1,,,
12,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,11.0,+0.961 1'11.899,0.152,,167.084,Q1,,,
13,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,11.0,+1.041 1'11.979,0.08,,166.898,Q1,,,
14,G. Russell  Williams,63,Williams,Mercedes,14.0,+1.078 1'12.016,0.037,,166.812,Q1,,,
15,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,10.0,+1.140 1'12.078,0.062,,166.669,Q1,,,
16,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,13.0,+1.158 1'12.096,0.018,,166.627,Q1,,,
17,F. Alonso  Alpine,14,Alpine,Renault,12.0,+1.267 1'12.205,0.109,,166.376,Q1,,,
18,N. Latifi  Williams,6,Williams,Mercedes,14.0,+1.428 1'12.366,0.161,,166.006,Q1,,,
19,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,12.0,+2.020 1'12.958,0.592,,164.659,Q1,,,
20,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,0.0,,,,,Q1,,,
1,C. Leclerc  Ferrari,16,Ferrari,Ferrari,10.0,1'10.597,,,170.165,Q2,,,
2,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,9.0,+0.053 1'10.650,0.053,,170.038,Q2,,,
3,V. Bottas  Mercedes,77,Mercedes,Mercedes,11.0,+0.098 1'10.695,0.045,,169.929,Q2,,,
4,C. Sainz  Ferrari,55,Ferrari,Ferrari,10.0,+0.209 1'10.806,0.111,,169.663,Q2,,,
5,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,10.0,+0.422 1'11.019,0.213,,169.154,Q2,,,
6,L. Norris  McLaren F1,4,McLaren,Mercedes,9.0,+0.434 1'11.031,0.012,,169.126,Q2,,,
